country_code,year,wb_forest_import_usd,wb_forest_export_usd
BEN,2008,12787000.0,23922000.0
BEN,2009,9329000.0,15907000.0
BEN,2010,11236000.0,37799000.0
BEN,2011,16468000.0,98556000.0
BFA,2008,17580000.0,803000.0
BFA,2009,14664000.0,275000.0
BFA,2010,16502000.0,1896000.0
BFA,2011,19436000.0,1820000.0
CIV,2008,107086000.0,451327000.0
CIV,2009,104042000.0,244618000.0
CIV,2010,94105000.0,293255000.0
CIV,2011,86808000.0,279135000.0
GHA,2008,56205000.0,300334000.0
GHA,2009,57944000.0,219450000.0
GHA,2010,83681000.0,228048000.0
GHA,2011,84591000.0,210935000.0
GIN,2008,5605000.0,32853000.0
GIN,2009,5498000.0,11697000.0
GIN,2010,4114000.0,64039000.0
GIN,2011,9809000.0,19000000.0
GMB,2008,5029000.0,655000.0
GMB,2009,5362000.0,775000.0
GMB,2010,4934000.0,1001000.0
GMB,2011,5466000.0,1380000.0
GNB,2008,1042000.0,1964000.0
GNB,2009,922000.0,1884000.0
GNB,2010,839000.0,4285000.0
GNB,2011,1392000.0,4793000.0
LBR,2008,3698000.0,338000.0
LBR,2009,3170000.0,5401000.0
LBR,2010,4253000.0,5607000.0
LBR,2011,4253000.0,34549000.0
NGA,2008,448091000.0,43999000.0
NGA,2009,539977000.0,47468000.0
NGA,2010,633933000.0,19617000.0
NGA,2011,644865000.0,17458000.0
SEN,2008,123883000.0,7167000.0
SEN,2009,87682000.0,6036000.0
SEN,2010,72980000.0,4950000.0
SEN,2011,88358000.0,7381000.0
SLE,2008,6290000.0,4670000.0
SLE,2009,5439000.0,6340000.0
SLE,2010,8049000.0,7404000.0
SLE,2011,8116000.0,8454000.0
TGO,2008,11001000.0,44358000.0
TGO,2009,5473000.0,29516000.0
TGO,2010,5375000.0,45944000.0
TGO,2011,4291000.0,46202000.0
